track_id,track_popularity,track_artist,playlist_genre
6f807x0ima9a1j3VPbc7VN,66,Ed Sheeran,pop
0r7CVbZTWZgbTCYdfa2P31,67,Maroon 5,pop
1z1Hg7Vb0AhHDiEmnDE79l,70,Zara Larsson,pop
75FpbthrwQmzHlBJLuGdC7,60,The Chainsmokers,pop
1e8PAfcKUYoKkxPhrHqw4x,69,Lewis Capaldi,pop
7fvUMiyapMsRRxr07cU8Ef,67,Ed Sheeran,pop
2OAylPUDDfwRGfe0lYqlCQ,62,Katy Perry,pop
6b1RNvAcJjQH73eZO4BLAB,69,Sam Feldt,pop
7bF6tCO3gFb8INrEDcjNT5,68,Avicii,pop
1IXGILkPm0tOCNeq00kCPa,67,Shawn Mendes,pop
3eFJI470ALf1EYjywPRsJy,58,Ed Sheeran,pop
3iJeF2izF1QcpCgUc97BLl,67,Ellie Goulding,pop
6e0CvGZf7CouOpYF8toXHC,67,Loud Luxury,pop
3eLdNmnRWr9gIyBcqTSSti,68,Avicii,pop
55nMnifaQWKe3f9cbwOXwx,63,Martin Garrix,pop
1EJgymgJHcjSOGSHcYaxvW,66,Ed Sheeran,pop
5WaXMQMlQpq8pwIdaFP43L,60,AJ Mitchell,pop
3TjLsDgL0bTbSQIF6M5Ki8,65,David Guetta,pop
0GfS3y8Jd7SHWd9R51s7Fo,69,Sam Smith,pop
2v3DuCVBbopteJqdM7aKQK,35,Steve Aoki,pop
4QAUGy6k7c3IOAhgWz52r7,70,Avicii,pop
3Ciaf6WgvG95TGRGxQ1yO8,64,R3HAB,pop
1mC2UjWt25Oixtqu7C6suL,62,David Guetta,pop
2wenGTypSYHXl1sN1pNC7X,70,AJ Mitchell,pop
4sqABRRGU7CzcHXCyxUzFw,58,The Chainsmokers,pop
5dy3WUywjZcalTno1io8TQ,63,Lewis Capaldi,pop
2M9GeaCQXrV12J0wzBxIwi,66,Marshmello,pop
1zzOMDmkRZy0g9f4JTAZKn,8,Ellie Goulding,pop
4OFFY6L5ywYM1TwhXX69wQ,62,Ava Max,pop
1hr5Y2i4NlE3LPvQZ9Q5Ao,30,Nikki Vianna,pop
1aT7vltGhkjyMI3F3aO3A4,56,Charlie Puth,pop
4YaU1EjXIkdRdkOI4cCZys,56,Starley,pop
0Fc9QSMX6fgEBgDjUax7t7,58,Zara Larsson,pop
7AasLZ4TYgh7dbJXZxcZVE,60,Ava Max,pop
7p4jpmyBnOpqQ3rSGJzZ7w,60,James Arthur,pop
4sLtguRBis05qfsBgJ1IdN,55,MAX,pop
508lUjbGcPrL0CfvHC7UvI,59,Marshmello,pop
7FDaS1k08rwMoAThmzUkOZ,63,The Chainsmokers,pop
6m8SIT10j41SPpPFOknTmP,67,ILLENIUM,pop
5Vwgf4MVO0vLv8fbxaGGiW,55,Bazzi vs.,pop
5scxjvcdozadBoRRN0UMaM,56,Charli XCX,pop
6oJ6le65B3SEqPwMRNXWjY,87,Kygo,pop
2tilX6FUl0IwFgiOYjuc6V,62,Armin van Buuren,pop
3yNZ5r3LKfdmjoS3gkhUCT,83,Billie Eilish,pop
478QYNLw6dhTTx4oEkhBeq,55,Ava Max,pop
3C4fzUgIP3ahkhOBdP38GM,61,Sia,pop
2k4c9ZAlIYHyXiJ4i20FO7,56,Sean Paul,pop
79zGYOcAe2VmJsyQiJX31a,57,Charli XCX,pop
6B2NRQjtSOtqi67d72r5cx,56,Estelle,pop
08rBIlTMXlF5uEHobZglxv,53,Bastille,pop
1BmdqDrBU5eohtRwHBls6C,56,for KING & COUNTRY,pop
5rxKInBVj0QE87KenyDiLf,34,Steve Aoki,pop
3kgKVcBpBGuSeaEC0AZGlb,74,Lil Nas X,pop
5qCrT9lVmIGxqB8i6bb83P,46,Starley,pop
3Lv3frZVXU7Q0JEFvLIzWW,63,Calvin Harris,pop
2bZYJvVRN5EqIvAUFhUNls,55,R3HAB,pop
3utdq3dPLVD4r7Vv9BnCAI,52,Why Don't We,pop
1ppOGANOzMT01Cxh9jx4hN,67,Olympis,pop
5Shjuje8PRcX7ueEVajrLH,63,DJ Snake,pop
6wKJjrWWP4qpzYbE8oQkc4,60,Smash Mouth,pop
6EDH26ppl7R8oV4tGilCkS,45,SHAED,pop
4RaN7556EogBfF80klMEX2,58,David Guetta,pop
1nwoWaqzB30bD4IPqRNuex,51,Kaskade,pop
4fDBElPGDqZQ3rJorZTm2w,58,GASHI,pop
6AZ21kPj2a0INgf3uCviVu,56,Bazzi vs.,pop
3uXHSf9sSIpOJWuC1H8DiU,60,Khalid,pop
4Q9iBGT9b9CVTtDwsgQWnl,48,Herve Pagez,pop
6LCsZ8ARrIq0n9nr6gM2ru,56,Mark Ronson,pop
27F9FlipD657qYRQT3qxFm,56,James Arthur,pop
6B9cqNooxIyPfr3P5EB8LA,65,Arlissa,pop
05CwHjIk71RXVU40boRMnR,39,The Chainsmokers,pop
0qc4QlcCxVTGyShurEv1UU,83,Sam Feldt,pop
5icOoE6VgqFKohjWWNp0Ac,83,Marshmello,pop
6GIRtKNXokeu25nn7U6Hu8,71,5 Seconds of Summer,pop
4PkIDTPGedm0enzdvilLNd,81,Ellie Goulding,pop
5PYQUBXc7NYeI1obMKSJK0,85,Katy Perry,pop
4Gcv5SsxnQWpmOnUI19EJk,76,Gryffin,pop
5YkmS18BehACOhIIeUqe6l,71,NOTD,pop
3vQhEd4lOg4mAV6CHCgoHW,65,Ed Sheeran,pop
6wo37KVqFJhtuxPTpLCcfe,67,The Chainsmokers,pop
3OTSBoYKO7HzGVj8Bu2OH9,74,Zara Larsson,pop
4NSW0Km5ZG60L8FthUebPJ,81,Jonas Blue,pop
1xK7enJZVdv37fnnxoZlPq,71,Kaskade,pop
1z1XegUChLLQfcbtIK8ABn,75,Gryffin,pop
6aoGtdWXBkYQ2O2wnyIz2x,73,Kygo,pop
5tAa8Uaqr4VvA3693mbIhU,79,Zara Larsson,pop
18W92Zm1KjLCbUIszOhpkD,74,NOTD,pop
3D37T7euWvVJ45evRmriIh,63,3LAU,pop
3y3brCCecHC3Db18aIOnny,79,Kygo,pop
6XqvFyJGdUD5IWee02ARKU,16,Jonas Blue,pop
575NJxNUVDqwJGdzBrlLbv,75,Shawn Mendes,pop
70YPzqSEwJvAIQ6nMs1cjY,75,ILLENIUM,pop
7Ht0v0LWBCOEjmNQ0iMpNr,55,Loud Luxury,pop
6nDKrPlXdpomGBgAlO7UdP,30,Avicii,pop
2b1BwUGGyKq0CoJd8G1B6M,62,Jax Jones,pop
09IStsImFySgyp0pIQdqAc,84,Zedd,pop
1lGVyEkGHUz7Pg78QGaS4a,70,NOTD,pop
6ksMjdec8b6C45TUawkAdu,37,Steve Aoki,pop
1vsQb8n0icvMsFnL9663LM,70,Gryffin,pop
6pooRNiLyYpxZeIA5kJ5EX,74,ILLENIUM,pop
5WHTFyqSii0lmT9R21abT8,85,Mabel,pop
1pBO9JDqh1y3TbCKEO1OvG,36,A R I Z O N A,pop
1LjxmkW3xRQP2HzswhYyyc,52,Steve Aoki,pop
7FCZhkhzEUVNUAlGauNKIe,58,Starley,pop
2JoIjuzRplpYGvvLpSW2on,72,Alesso,pop
4PUWpNtDejQwwa80LjvxXl,64,ayokay,pop
1nufXiTCTTAeJfO9hLHvO8,63,ARTY,pop
1NDxZ7cFAo481dtYWdrUnR,77,Maggie Lindemann,pop
1ahVFh0ViDZr8LvkEVlq3B,76,Martin Garrix,pop
0Ev562zA4pmUsBqjxsxxdx,74,Gryffin,pop
5l8AUgBTWuOECwVgYtaUyE,56,Cashae,pop
35MKhw2YBKApmD7fAnPERC,77,Galantis,pop
3Kuu5vASpXK8oRsxOvau6P,71,Kygo,pop
7KW3XQV5Or5CF57MYVj5h4,64,Carly Rae Jepsen,pop
3M9Apu4OZfylLTFKvgEtKa,82,Tiësto,pop
5N4erncE7kuUccm7zEmwzk,81,Silk City,pop
6QcrReLyoun4xrPVsZ5OJE,41,Shallou,pop
1kQhi22kyluRCnIPAXtxEZ,62,benny blanco,pop
5cE201rNvIkryS8N1dJ5nR,5,Carly Rae Jepsen,pop
4AkCyd9Nlbt8JprQq9V6o2,72,R3HAB,pop
48GmVZwvkoVC5StfMLfNJE,24,DVBBS,pop
01iyINEYgPQ7ThMZuHUsqS,58,Lost Kings,pop
6BwClo5W3VvTzJv8bvZXDD,65,Armin van Buuren,pop
108r6pnZHStBIktpyyps9w,64,Alesso,pop
24Hzd4FPhz0HPx9jhM9cap,53,Elderbrook,pop
4aTtHoSBB0CuQGA6vXBNyp,72,Martin Garrix,pop
0gIZLyF3MWQVcspzrLWYod,39,FANNYPACK,pop
6y1UtRcHQU07aUs3oxZ8Yn,75,Joel Corry,pop
54z0kLF0skj0Hdb9wCqPJt,60,Herve Pagez,pop
6mPstbtzhyqKmwefY4eVWD,18,Lindsey Stirling,pop
6uBhi9gBXWjanegOb2Phh0,79,Zedd,pop
1Pe3Tnahd3nNcKrTvNvNvW,60,Armin van Buuren,pop
4w8niZpiMy6qz1mntFA5uM,83,DJ Snake,pop
7BKLCZ1jbUBVqRi2FVlTVw,85,The Chainsmokers,pop
2IDHoSlbG0CKH9rhq68wTb,47,ODESZA,pop
60wwxj6Dd9NJlirf84wr2c,74,Zedd,pop
6kPJZM97LwdG9QIsT7khp6,80,Clean Bandit,pop
3ebXMykcMXOcLeJ9xZ17XH,81,Martin Garrix,pop
7iNIg7XDEaYECfWD5dJ9Va,76,Justin Bieber,pop
6cy3ki60hLwimwIje7tALf,96,The Black Eyed Peas,pop
5N5k9nd479b1xpDZ4usjrg,84,Calvin Harris,pop
0qaWEvPkts34WF68r8Dzx9,86,Riton,pop
6jq6rcOikCZAmjliAgAmfT,68,San Holo,pop
762UXiwEHYY97VL45sAUPR,66,David Guetta,pop
6RUKPb4LETWmmr3iAEQktW,83,The Chainsmokers,pop
7ef4DlsgrMEH11cDZd32M6,85,Calvin Harris,pop
3zU9rdflI65tK4dkkNSp77,73,Alesso,pop
12GEpg2XOPyqk03JZEZnJs,69,Kygo,pop
4kte3OcW800TPvOVgrLLj8,69,Ne-Yo,pop
0lYBSQXN6rCTvUZvg9S0lU,81,DJ Snake,pop
3vv9phIu6Y1vX3jcqaGz5Z,73,The Chainsmokers,pop
2QtJA4gbwe1AcanB2p21aP,61,Zedd,pop
1BltsyC5W3SAABdxyrDXwi,19,Disclosure,pop
3tTYxjYYcXFqFXA0AZ1Fav,57,David Guetta,pop
09CtPGIpYB4BrO8qb1RGsF,81,Justin Bieber,pop
0azC730Exh71aQlOt9Zj3y,79,Calvin Harris,pop
4h8VwCb1MTGoLKueQ1WgbD,84,Avicii,pop
0E9ZjEAyAwOXZ7wJC0PD33,84,Dynoro,pop
0lHAMNU8RGiIObScrsRgmP,66,David Guetta,pop
0n8ob8S72lvznoVfiwz4qL,8,Skrillex,pop
4r6eNCsrZnQWJzzvFh4nlg,64,Katy Perry,pop
0GzmMQizDeA2NVMUaZksv0,61,J Balvin,pop
1MlAkYV0nbRKWhhfvTt3zc,27,Swedish House Mafia,pop
1WkMMavIMc4JZ8cfMmxHkI,74,Justin Timberlake,pop
7C7yqFTM0ncyJ04GIKrxdV,57,Ellie Goulding,pop
0WfKDYeUAoLA3vdvLKKWMW,69,Lady Gaga,pop
22mek4IiqubGD9ctzxc69s,77,Calvin Harris,pop
61ZM92T2zaXIVsqncThQzC,74,Robin Schulz,pop
6TnxdnJcZIwCWiCHq5Qds0,5,Sigala,pop
2aFAmDBycyEnj3lcS95JMe,57,Kaskade,pop
0Npijoc6ZcUe1devUugKvI,68,Hot Shade,pop
5gwLIRjGFf3hXuHoKEsWLg,65,Paul Kalkbrenner,pop
3d4lc8esnUl7Bx9J9d9oty,58,MOTi,pop
0U6bQIAh6MCGo1xjbIIx2S,81,Dimitri Vegas & Like Mike,pop
3oIVK7arAFuUOCGafPLxSC,68,Becky Hill,pop
2I4jAMEOEUQD5V1byYCqNS,43,Molella,pop
59QmL8ygKtVfMHmPx3GaBX,57,MOTi,pop
5EdYlCWou17k0N1PADLKfO,58,The Chainsmokers,pop
5MvsfUN0H79C24t3fPepeL,58,GATTÜSO,pop
7CHi4DtfK4heMlQaudCuHK,91,MEDUZA,pop
1CW7tYkpJ95c7bQkRf6CcK,67,Jonas Blue,pop
4bSFPMXKYaCoBhzJv276zl,42,Matt Simons,pop
5AFrctm65wWIqJsjHPPx85,70,Skrillex,pop
3DsjHcLYMExprXJECT4QQP,64,Ed Marquis,pop
7FjZU7XFs7P9jHI9Z0yRhK,79,NOTD,pop
5ijpy4l0nKZPIKHui6SQfE,48,Brando,pop
6j8eH9frh703HaGBaSRS6u,53,Glaceo,pop
79Vz5MNH7Qe4F7hPKT8tPz,75,Tiësto,pop
65mOk4n0tfrMysFXu12ufx,46,Kharfi,pop
4w5Grfxx5Rpup6mo5v6bW0,67,Lost Frequencies,pop
3uiQZlSlSDRduWLFBTSEot,65,Dua Lipa,pop
29ikXeGM6kScvhvqfvgiwO,56,Steve Void,pop
2Eld7kejX6FH9OptVyKQak,42,Jax Jones,pop
3BOcWxFUURAomDXRSDFve4,58,Armin van Buuren,pop
4YhN72dRYL2Z3MsaKyT7rS,74,David Guetta,pop
7DQ5CZjAQdhgDgdnSXxJ7Z,65,PNAU,pop
2aXA9aQfrqaOi1Wy3NfSZI,64,Mike Perry,pop
62XCV3AmCMkPa9X5mCim8O,51,FAULHABER,pop
5llPdGZJjJFJv9aL6ZaiLY,63,Audien,pop
7pWK1kMgHy5lNNiIfuRbkP,83,Martin Garrix,pop
2W9pBY75aWOV39S73mqqbn,55,Prince Paris,pop
1JxQmgCEipmHCUiJS568pE,39,Georgia Ku,pop
6pu5jQqenr37n0z6eBKOh0,48,Icarus,pop
3RBk0P36O7wCMxF263jRJL,59,Madison Mars,pop
4uRx3SdWG2cNVfRNVPwHDS,64,Nahaze,pop
3ZRgqoTb7pVO11IxcKGtMo,42,DJ Ross,pop
0DhkTGjEaIHaSxTfC14BFm,70,R3HAB,pop
4nx4h17pRj1ikT0hZecR8z,57,Phantoms,pop
1tq4UL9BB7BHuT6eorlX3X,21,Deorro,pop
4TIkSdsNSfqpuq6ZYvCjAz,68,Gryffin,pop
4P7F3kb2Ze1YleD6lUYwJo,63,Tiësto,pop
3qeJ84Y6PRS9LtliOuT94Z,54,Yves V,pop
7sYAS4CpbV90oSemgaEQat,79,Alok,pop
1CRy08G60mS5jvhB27xMpS,72,Martin Solveig,pop
02itaCXOdC54J0ISjqqFAp,80,R3HAB,pop
52EB2Gk1nkxZmbomJOXUde,47,Steve Aoki,pop
4Jwp3yjIQfudmjuctLQlfJ,19,Alex Gaudino,pop
7N06jo3EnV792VFaG8vuW6,79,Felix Jaehn,pop
517cAnPxsaxfrkKHHY41wB,59,Audien,pop
3GT2CBmJWIEdCpHiB31WYK,68,David Guetta,pop
7fPuWrlpwDcHm5aHCH5D9t,72,SAINt JHN,pop
1rRWFc2p77FYyb67m5YeVO,66,Ofenbach,pop
1LDDUVvutZ3qxvnOrulCBM,59,ARTY,pop
2wOVXsIRIoniqipE9I5ZVx,64,Rita Ora,pop
0byab45cmZntz74RxcASrf,9,Ellie Goulding,pop
4ciBIS83LHQpKf4noVKP51,41,Drax Project,pop
19TOAlTFq0NDHvUPQR0tkr,69,Ed Sheeran,pop
6VP3410weACXiPCVLKSkOb,66,Kygo,pop
5ql2mP9FUhB3SgMzv2akuO,68,Dzeko,pop
3jwQwGVERUXo7eaAgL1xAo,66,Ellie Goulding,pop
46W9iEjOg5nkMvb6lo4Jwz,63,R3HAB,pop
0GRoERSBBky3YgdKW2w2Vc,68,Don Diablo,pop
3sHuIjfAzluc6S9cXoqfqC,23,Steve Aoki,pop
4fK2NU9UyQJV74ZGiSVYsr,67,Kygo,pop
0jlpHhGUFn4aAWLsRRnwep,62,Sam Feldt,pop
2pMntGuRgHAHVtrpC6kgGy,9,Andy Grammer,pop
7EHCt2jdVwHp557sfMPosf,59,MOTi,pop
5YN0zHycJ0Yxz31A5QsVov,71,Martin Garrix,pop
14nIFzHQf1OBWf6VHVR8DF,21,Jonas Blue,pop
14sOS5L36385FJ3OL8hew4,81,Kygo,pop
23FHa9lYnG6Dr8OzombPkS,69,Valerie Broussard,pop
06BrHnTVDOydsfg0LZ6mQb,56,Khalid,pop
1YSwQvw1NrEPfA0j1iY8eV,56,Alok,pop
1FlIzyCvRFQUE4pc7PiaIo,60,Panic! At The Disco,pop
3eW2EDwNRAiQKkgom96dUa,40,Hardwell,pop
1k08GK7ox8SDmEMvn81TwU,57,P!nk,pop
4raMIjIjMc8JohHth7l9lG,70,Lewis Capaldi,pop
52Y5nYBQgqawttJxxtUv1e,63,Daya,pop
4R7ZSlYoJOIaxHJFHszQCR,65,Zara Larsson,pop
3N9YuL395rE4qNyHMsvOWC,56,NOTD,pop
6dX62wjTHi9F1srVTjV89X,2,Why Don't We,pop
0JumfyG7GUshFjxouEXwhw,53,James Arthur,pop
3Iee2uf8UXOrOupQzfs1z5,11,Gryffin,pop
6jreFSOTUAViWjKyzOC4Kg,77,Alesso,pop
5Qnk8vP5g9l5SDQKU3qyYQ,56,Borgeous,pop
3Mong1BzxMKwTZ0SbfLdcQ,65,Clean Bandit,pop
4huh5oqBz9RkgpzAkyuEAs,34,Hardwell,pop
4Nu8sEejt46770gDUvFcrF,54,Dan + Shay,pop
1IjuevPDJ8Sa97wFwQ5j4V,51,Marshmello,pop
4d3cCNTG3PUgWhPButc4N7,50,JP Cooper,pop
7r4nPsLToVIPdsiEeZKF6Y,52,Jess Glynne,pop
4Tvw0lweq9l2JPQKFbpbBQ,76,David Guetta,pop
1yAPglN5AGf7UoLK062ZYq,75,Sigala,pop
4IAd7Vdwcc1E86P15tXjca,52,Frank Walker,pop
5qiQbOa6AFEO3P111y9Jry,62,Mabel,pop
7nbVbGjifh0m2fhPYqcI1R,65,Ava Max,pop
5NeFmsnXBy6xVbz8pesM5l,62,Young Bombs,pop
6fvbl9D9VjMtLRQsuWPyYt,10,OneRepublic,pop
1MgpEKnO6sgMTb5zumAsgn,55,Syn Cole,pop
06Z7Hy2LUzbcSFmWzwkun1,49,Tyler Shaw,pop
0EdgK7ASb4kfRkW8pVMN02,70,Sam Feldt,pop
2gqzTQEn4g5ly0n5ScdMx0,61,Nicky Romero,pop
36orMWv2PgvnzXsd5CJ0yL,75,Sam Feldt,pop
6DuE8kXIDJ3oiCibWXmgeN,60,Faustix,pop
5up5uXChMJLKyuop9HwtCb,63,George Ezra,pop
4AMY0oGSt7vZwgxDnHCJBr,73,XO Cupid,pop
0VQUyufAldw4Eitv71TPmg,60,Faustix,pop
0EQeui6OBMzqJ3Z3wCOzZh,62,Faustix,pop
1o9D0rUusi2V5idyOEOPII,67,Winati,pop
2neq77lIMkitQwBwy1EDng,61,Tungevaag & Raaban,pop
5ow0sNF1zSqp71Ix5jEXWU,71,Jubël,pop
0vrmHPfoBadXVr2n0m1aqZ,80,Avicii,pop
0o9bHFc8Lt5tZFvTjNZTNf,68,John De Sohn,pop
3oN9prOZJ8jR6rFP4YMJF9,60,Olympis,pop
0Qew3aYvQPGPjfL7gbe6x1,66,Martin Jensen,pop
5naYe7rLMZcLfO1DKg48MK,75,Jax Jones,pop
3LaQ1GajOXoUeiTA9UAcCK,58,Lauv,pop
3DGar7krWlmrXRFHBcQF6z,74,Kris Kross Amsterdam,pop
5VGBgPVFO3e0lWz4WHYntQ,68,Tungevaag & Raaban,pop
6sYJuVcEu4gFHmeTLdHzRz,72,GAMPER & DADONI,pop
3eS1VMcEmq2IUgpaeDysCb,70,Jess Glynne,pop
4fCAOaMs0PYL58OijKp2IS,58,Lauv,pop
2mSIu1ZPo22Ihx3EwS4E6h,67,Vigiland,pop
31OqWK8Lc6GnUbnLG3GqPX,62,Marshmello,pop
7rpyHKSH3dkrsKEgv1eNgv,56,Drax Project,pop
5CpkVOosLFc83LbwqO6hnI,65,Sigala,pop
3cJEgWbsBmGkvXz906tgut,51,Jess Glynne,pop
3ZqKbMO9UasuKgQeGT7QZS,54,Robin Schulz,pop
5mYNWSc1AE7pWS3Ax4e8Dl,61,Ellie Goulding,pop
6SRWhUJcD2YKahCwHavz3X,76,Alan Walker,pop
7Feaw9WAEREY0DUOSXJLOM,83,Martin Garrix,pop
7K7MUBCnzgBAvMVW2RTWNs,63,Loud Luxury,pop
